Code,Name,Geography,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+
K02000001,UNITED KINGDOM,Country,831075,862822,894577,927472,904147,924411,921696,925871,920651,924094,910372,888080,863911,830550,795464,772753,748741,713842,683935,653386,648219,632318,606812,604393,605012,611491,634565,673831,505224,476740,461977,414914,357410,305273,300816,281337,256103,224742,195365,167231,625236
E92000001,ENGLAND,Country,703813,729388,754938,780892,759767,775106,771539,774808,770180,769707,757491,738322,718569,689549,658848,639143,618514,589882,564430,539673,536645,523049,503524,501510,503580,509713,531492,567237,424408,401145,388753,347609,298656,255001,253116,237616,216590,190245,165268,141650,532643
E12000007,LONDON,Region,112845,111978,111122,112036,111111,109647,108394,105028,104216,101141,98300,94342,89178,84777,81988,76135,71487,67283,63982,60194,57037,54287,51971,50650,49126,48084,48500,49957,39632,35813,34567,31764,28050,24406,25016,23162,21276,18555,16217,14048,54298
E09000007,Camden,London Borough,2506,2480,2530,2674,2628,2469,2461,2544,2511,2341,2272,2153,2051,1941,1924,1690,1684,1499,1477,1393,1316,1297,1260,1196,1191,1174,1172,1203,1047,942,909,789,670,556,592,505,524,397,375,311,1143
E09000020,Kensington and Chelsea,London Borough,2005,1927,1966,2183,2019,2197,2203,2092,2146,1986,2036,2071,1916,1742,1582,1484,1423,1349,1228,1164,1193,1005,936,1064,1013,975,993,984,856,811,733,688,618,512,547,466,405,370,216,265,1016
E09000033,Westminster,London Borough,2667,2719,2726,2641,2659,2844,2921,2895,2653,2604,2354,2341,2257,2111,1975,1792,1746,1589,1543,1401,1351,1288,1318,1229,1105,1159,1163,1071,939,927,819,803,698,600,560,558,550,409,394,301,1215
E09000005,Brent,London Borough,4315,4124,4228,4193,4347,4726,4310,4033,3869,3963,3821,3586,3604,3403,3303,3254,2955,2646,2622,2463,2246,2215,2072,1870,1945,1799,1602,1547,1348,1252,1239,1166,1072,897,981,849,863,776,658,573,2037
