name,age,age_group,bodyweight,snatch_bw,candj_bw,squat_bw,deadlift_bw,snatch_to_cj,cj_to_squat,strength_score,snatch_level,weakness_flag,overall_rank,percentile_rank
Teddy Hwang,27.0,Senior,188.0,1.44,1.73,2.26,2.58,0.83,0.76,8.01,Elite,No Major Imbalance,733,25
Nathan Hoffmann,21.0,Senior,188.0,1.38,1.6,2.45,2.58,0.87,0.65,8.01,Elite,Weak Clean & Jerk,733,25
Michael Bodi,29.0,Senior,188.0,1.36,1.62,2.1,2.93,0.84,0.77,8.01,Elite,No Major Imbalance,733,25
michael penta,32.0,Senior,193.0,1.27,1.74,2.25,2.75,0.73,0.77,8.01,Elite,No Major Imbalance,736,25
Sean Sweeney,23.0,Senior,195.0,1.36,1.75,2.08,2.82,0.78,0.84,8.01,Elite,No Major Imbalance,737,25
Alex Vigneault,22.0,Senior,203.0,1.4,1.6,2.22,2.78,0.88,0.72,8.0,Elite,No Major Imbalance,738,25
Garret Fisher,23.0,Senior,205.0,1.39,1.73,2.32,2.56,0.8,0.75,8.0,Elite,No Major Imbalance,739,25
Tim Carroll,31.0,Senior,205.0,1.37,1.76,2.32,2.56,0.78,0.76,8.0,Elite,No Major Imbalance,739,25
Joshua Santhou,25.0,Senior,191.0,1.42,1.62,2.31,2.65,0.88,0.7,8.0,Elite,No Major Imbalance,739,25
Gregg Johnsen,20.0,Senior,190.0,1.39,1.71,2.32,2.58,0.82,0.74,8.0,Elite,No Major Imbalance,739,25
Bradley Berlin,26.0,Senior,210.0,1.24,1.55,2.19,3.02,0.8,0.71,8.0,Advanced,No Major Imbalance,739,25
Joseph Oller,23.0,Senior,175.0,1.46,1.74,2.2,2.6,0.84,0.79,8.0,Elite,No Major Imbalance,739,25
Dave Rabbett,28.0,Senior,185.0,1.38,1.7,2.3,2.62,0.81,0.74,8.0,Elite,No Major Imbalance,739,25
Casey Atkinson,25.0,Senior,185.0,1.38,1.65,2.3,2.68,0.84,0.72,8.0,Elite,No Major Imbalance,739,25
Christian Shelton,33.0,Senior,205.0,1.24,1.68,2.32,2.76,0.74,0.73,8.0,Advanced,No Major Imbalance,739,25
Preston Shepard,25.0,Senior,189.0,1.31,1.61,2.14,2.94,0.81,0.75,8.0,Elite,No Major Imbalance,739,25
Shane Arikian,32.0,Senior,180.0,1.36,1.69,2.19,2.75,0.8,0.77,8.0,Elite,No Major Imbalance,739,25
nate euvrard,32.0,Senior,210.0,1.17,1.55,2.4,2.88,0.75,0.64,8.0,Advanced,Weak Clean & Jerk,739,25
Alex Oberman,23.0,Senior,175.0,1.4,1.74,2.2,2.66,0.8,0.79,8.0,Elite,No Major Imbalance,739,26
Juan Pablo Marino,26.0,Senior,171.0,1.42,1.81,2.32,2.45,0.79,0.78,8.0,Elite,No Major Imbalance,739,26
Ben Retherford,25.0,Senior,185.0,1.31,1.62,2.09,2.98,0.81,0.78,8.0,Elite,No Major Imbalance,739,26
Luke Knapp,26.0,Senior,187.0,1.29,1.53,2.47,2.71,0.85,0.62,8.0,Elite,Weak Clean & Jerk,739,26
George Fairley,32.0,Senior,207.0,1.43,1.76,2.27,2.54,0.81,0.78,8.0,Elite,No Major Imbalance,755,26
Tucker Hood,27.0,Senior,197.0,1.37,1.65,2.34,2.64,0.83,0.71,7.99,Elite,No Major Imbalance,756,26
Herb Watson,31.0,Senior,185.0,1.35,1.62,2.27,2.75,0.83,0.71,7.99,Elite,No Major Imbalance,757,26
Roch Proteau,34.0,Senior,180.0,1.39,1.71,2.11,2.78,0.81,0.81,7.99,Elite,No Major Imbalance,758,26
Benjamin Williams,27.0,Senior,194.0,1.31,1.7,2.35,2.63,0.77,0.73,7.99,Elite,No Major Imbalance,759,26
Jeffrey Hajner,29.0,Senior,188.0,1.39,1.68,2.34,2.58,0.83,0.72,7.99,Elite,No Major Imbalance,760,26
Craig Avera,28.0,Senior,179.0,1.37,1.73,2.32,2.57,0.79,0.75,7.99,Elite,No Major Imbalance,761,26
Ben Eseroma,31.0,Senior,200.0,1.23,1.75,2.38,2.63,0.7,0.74,7.99,Advanced,Weak Snatch Technique,762,26
Ethan Wedge,26.0,Senior,213.0,1.15,1.43,2.7,2.7,0.8,0.53,7.98,Advanced,Weak Clean & Jerk,763,26
Ioannis Papadopoulos,27.0,Senior,250.0,1.24,1.54,2.38,2.82,0.8,0.65,7.98,Advanced,Weak Clean & Jerk,764,26
Spencer Murphy,31.0,Senior,235.0,1.21,1.55,2.34,2.87,0.78,0.66,7.98,Advanced,Weak Clean & Jerk,765,26
Matt Sidwell,26.0,Senior,188.0,1.41,1.65,2.39,2.53,0.85,0.69,7.98,Elite,Weak Clean & Jerk,765,26
John Garman,26.0,Senior,183.0,1.31,1.61,2.24,2.81,0.81,0.72,7.98,Elite,No Major Imbalance,767,26
Matt Recknagel,32.0,Senior,210.0,1.19,1.55,2.38,2.86,0.77,0.65,7.98,Advanced,Weak Clean & Jerk,768,26
Sean Moynihan,31.0,Senior,200.0,1.3,1.73,2.42,2.52,0.75,0.71,7.97,Elite,No Major Imbalance,769,26
Haydn Wolfsbauer,28.0,Senior,198.0,1.35,1.67,2.28,2.67,0.81,0.73,7.97,Elite,No Major Imbalance,770,26
Darren Dirkin,21.0,Senior,195.0,1.38,1.85,2.18,2.56,0.75,0.85,7.97,Elite,No Major Imbalance,771,26
Jared Butler,27.0,Senior,195.0,1.33,1.69,2.23,2.72,0.79,0.76,7.97,Elite,No Major Imbalance,771,26
Corey Kinsela,28.0,Senior,195.0,1.25,1.55,2.3,2.88,0.8,0.67,7.97,Advanced,Weak Clean & Jerk,771,26
Marquan Jones,24.0,Senior,190.0,1.5,1.74,2.18,2.55,0.86,0.8,7.97,Elite,No Major Imbalance,774,26
Sean Dodrill,33.0,Senior,190.0,1.47,1.74,2.26,2.5,0.85,0.77,7.97,Elite,No Major Imbalance,774,26
Alex Bourgeois,20.0,Senior,190.0,1.42,1.58,2.05,2.92,0.9,0.77,7.97,Elite,No Major Imbalance,774,26
Elliott Naito,32.0,Senior,190.0,1.39,1.66,2.37,2.55,0.84,0.7,7.97,Elite,No Major Imbalance,774,26
INSU BAEK,25.0,Senior,190.0,1.32,1.71,2.13,2.82,0.77,0.8,7.97,Elite,No Major Imbalance,774,26
James Hobart,28.0,Senior,185.0,1.41,1.76,2.19,2.62,0.8,0.8,7.97,Elite,No Major Imbalance,779,26
Austen Cochren,25.0,Senior,185.0,1.35,1.73,2.27,2.62,0.78,0.76,7.97,Elite,No Major Imbalance,779,26
Justin Adams,24.0,Senior,180.0,1.33,1.75,2.25,2.64,0.76,0.78,7.97,Elite,No Major Imbalance,781,27
Miles Rico,28.0,Senior,175.0,1.4,1.74,2.06,2.77,0.8,0.85,7.97,Elite,No Major Imbalance,782,27
Anthony Katafias,26.0,Senior,192.0,1.41,1.69,2.37,2.5,0.83,0.71,7.97,Elite,No Major Imbalance,783,27
justin alexander,26.0,Senior,187.0,1.31,1.68,2.27,2.7,0.78,0.74,7.97,Elite,No Major Imbalance,784,27
Gino Bua,25.0,Senior,184.0,1.36,1.72,2.31,2.58,0.79,0.74,7.97,Elite,No Major Imbalance,785,27
Matthew Swift,45.0,Masters I,187.0,1.36,1.71,2.24,2.65,0.79,0.76,7.96,Elite,No Major Imbalance,786,27
Rich James,35.0,Masters I,206.0,1.17,1.58,2.43,2.79,0.74,0.65,7.96,Advanced,Weak Clean & Jerk,787,27
Jeffrey Betancourt,28.0,Senior,195.0,1.27,1.64,2.31,2.74,0.77,0.71,7.96,Elite,No Major Imbalance,788,27
Spencer Munn,22.0,Senior,169.0,1.42,1.69,2.16,2.69,0.84,0.78,7.96,Elite,No Major Imbalance,789,27
Brandon Shuck,31.0,Senior,191.0,1.41,1.65,2.46,2.43,0.86,0.67,7.96,Elite,Weak Clean & Jerk,790,27
Louis Martinelli,28.0,Senior,191.0,1.26,1.62,2.41,2.67,0.77,0.67,7.96,Elite,Weak Clean & Jerk,790,27
Stephen Krofl,28.0,Senior,167.0,1.49,1.83,2.15,2.49,0.81,0.85,7.96,Elite,No Major Imbalance,792,27
Jake Johnson,24.0,Senior,235.0,1.21,1.64,2.32,2.79,0.74,0.71,7.96,Advanced,No Major Imbalance,793,27
Gregory DeGreen,32.0,Senior,198.0,1.26,1.54,2.4,2.75,0.82,0.64,7.95,Elite,Weak Clean & Jerk,794,27
Sinan Gocmen,32.0,Senior,193.0,1.3,1.58,2.25,2.82,0.82,0.7,7.95,Elite,No Major Imbalance,795,27
Nick Whelehan,28.0,Senior,200.0,1.32,1.52,2.27,2.83,0.87,0.67,7.95,Elite,Weak Clean & Jerk,796,27
Ben Crookston,28.0,Senior,200.0,1.2,1.52,2.5,2.73,0.79,0.61,7.95,Advanced,Weak Clean & Jerk,796,27
Andrew Thomas,22.0,Senior,178.0,1.54,1.71,2.25,2.44,0.9,0.76,7.95,Elite,No Major Imbalance,798,27
Dane Yelovich,28.0,Senior,195.0,1.26,1.69,2.31,2.69,0.74,0.73,7.95,Elite,No Major Imbalance,799,27
Adam Kubo,29.0,Senior,173.0,1.47,1.79,2.17,2.51,0.82,0.83,7.95,Elite,No Major Imbalance,800,27
Cord Gunnin,22.0,Senior,185.0,1.43,1.86,2.24,2.41,0.77,0.83,7.95,Elite,No Major Imbalance,801,27
Christopher Evering,31.0,Senior,185.0,1.38,1.65,2.08,2.84,0.84,0.79,7.95,Elite,No Major Imbalance,801,27
Ian Blair,35.0,Masters I,185.0,1.38,1.68,2.27,2.62,0.82,0.74,7.95,Elite,No Major Imbalance,801,27
Devin Griffin,25.0,Senior,185.0,1.38,1.7,2.16,2.7,0.81,0.79,7.95,Elite,No Major Imbalance,801,27
Jon Pera,31.0,Senior,202.0,1.39,1.73,2.35,2.48,0.8,0.74,7.95,Elite,No Major Imbalance,805,27
Bradley Roth,23.0,Senior,180.0,1.44,1.67,2.36,2.47,0.87,0.71,7.94,Elite,No Major Imbalance,806,27
Nicholas Paladino,16.0,Youth,180.0,1.36,1.75,2.03,2.81,0.78,0.86,7.94,Elite,No Major Imbalance,806,27
Brandon Lovett,27.0,Senior,175.0,1.4,1.57,2.31,2.66,0.89,0.68,7.94,Elite,Weak Clean & Jerk,808,27
Grant Lewis,23.0,Senior,188.0,1.29,1.66,2.35,2.64,0.78,0.71,7.94,Elite,No Major Imbalance,809,27
Evandro Barbosa,25.0,Senior,200.0,1.32,1.54,2.59,2.48,0.86,0.6,7.94,Elite,Weak Clean & Jerk,810,27
Luke Roberts,30.0,Senior,165.0,1.48,1.79,2.33,2.33,0.83,0.77,7.94,Elite,No Major Imbalance,811,28
Michael Hanna,25.0,Senior,240.0,1.27,1.6,2.4,2.67,0.79,0.67,7.94,Elite,Weak Clean & Jerk,812,28
Nathan Pinnell,25.0,Senior,205.0,2.64,1.49,1.78,2.02,1.78,0.84,7.94,Elite,No Major Imbalance,813,28
Matthew Hubbard,33.0,Senior,189.0,1.4,1.72,2.41,2.41,0.82,0.71,7.94,Elite,No Major Imbalance,814,28
Lukas Esslinger,22.0,Senior,203.0,1.35,1.58,2.24,2.76,0.86,0.7,7.94,Elite,No Major Imbalance,815,28
Anthony Taylor,27.0,Senior,201.0,1.32,1.59,2.26,2.76,0.83,0.7,7.94,Elite,No Major Imbalance,816,28
Brian Secrest,32.0,Senior,213.0,1.34,1.67,2.58,2.35,0.8,0.65,7.93,Elite,Weak Clean & Jerk,817,28
Phil Serzo,23.0,Senior,196.0,1.22,1.61,2.47,2.63,0.76,0.65,7.93,Advanced,Weak Clean & Jerk,818,28
Frank Lara,27.0,Senior,225.0,1.36,1.67,2.4,2.51,0.81,0.69,7.93,Elite,Weak Clean & Jerk,819,28
Rudy Nielsen,42.0,Masters I,187.0,1.32,1.53,2.59,2.49,0.86,0.59,7.93,Elite,Weak Clean & Jerk,820,28
Chad Melton,25.0,Senior,205.0,1.39,1.68,2.24,2.61,0.83,0.75,7.93,Elite,No Major Imbalance,821,28
Mario Gutierrez,32.0,Senior,175.0,1.41,1.58,2.42,2.52,0.89,0.65,7.93,Elite,Weak Clean & Jerk,822,28
Chevis Brooks,32.0,Senior,200.0,1.23,1.68,2.52,2.5,0.73,0.66,7.92,Advanced,Weak Clean & Jerk,823,28
Tim Jurd,34.0,Senior,172.0,1.45,1.73,2.18,2.56,0.84,0.79,7.92,Elite,No Major Imbalance,824,28
Reece Swain,23.0,Senior,195.0,1.26,1.62,2.23,2.82,0.78,0.72,7.92,Elite,No Major Imbalance,825,28
Eric Otero,28.0,Senior,190.0,1.37,1.68,2.32,2.55,0.81,0.73,7.92,Elite,No Major Imbalance,826,28
Travis Mayer,24.0,Senior,190.0,1.32,1.63,2.26,2.71,0.81,0.72,7.92,Elite,No Major Imbalance,826,28
Jared Luna,25.0,Senior,210.0,1.4,1.64,2.02,2.86,0.85,0.81,7.92,Elite,No Major Imbalance,828,28
Joseph Austin,27.0,Senior,185.0,1.32,1.62,2.24,2.73,0.82,0.72,7.92,Elite,No Major Imbalance,829,28
Jacob Mason,23.0,Senior,185.0,1.32,1.65,2.24,2.7,0.8,0.73,7.92,Elite,No Major Imbalance,829,28
Aris Gregorian,30.0,Senior,185.0,1.3,1.49,2.3,2.84,0.87,0.65,7.92,Elite,Weak Clean & Jerk,829,28
Richard Bohlken,26.0,Senior,197.0,1.37,1.7,2.16,2.69,0.81,0.79,7.92,Elite,No Major Imbalance,832,28
Brooks Farrar,27.0,Senior,192.0,1.43,1.77,2.32,2.4,0.81,0.76,7.92,Elite,No Major Imbalance,833,28
taylor lofton,21.0,Senior,180.0,1.39,1.69,2.31,2.53,0.82,0.73,7.92,Elite,No Major Imbalance,833,28
Greg Gadbois,20.0,Senior,180.0,1.36,1.69,2.36,2.5,0.8,0.72,7.92,Elite,No Major Imbalance,833,28
Michael gore,28.0,Senior,180.0,1.36,1.69,2.28,2.58,0.8,0.74,7.92,Elite,No Major Imbalance,833,28
Matt Tresp,28.0,Senior,180.0,1.36,1.67,2.25,2.64,0.82,0.74,7.92,Elite,No Major Imbalance,833,28
Armand McCormick,32.0,Senior,190.0,1.34,1.65,2.21,2.73,0.81,0.75,7.92,Elite,No Major Imbalance,838,28
Michael Smith,30.0,Senior,196.0,1.36,1.63,2.27,2.65,0.83,0.72,7.91,Elite,No Major Imbalance,839,28
Danny Henry,43.0,Masters I,220.0,1.22,1.57,2.3,2.82,0.78,0.69,7.91,Advanced,Weak Clean & Jerk,840,28
Mark Messer,30.0,Senior,184.0,1.39,1.6,2.2,2.72,0.86,0.73,7.91,Elite,No Major Imbalance,841,29
Klaus Hebo Uggerhøj,24.0,Senior,184.0,1.34,1.68,2.25,2.64,0.8,0.75,7.91,Elite,No Major Imbalance,841,29
Cameron Pernich,20.0,Senior,215.0,1.4,1.74,2.35,2.42,0.8,0.74,7.91,Elite,No Major Imbalance,843,29
Justin Fields,30.0,Senior,210.0,1.29,1.67,2.45,2.5,0.77,0.68,7.9,Elite,Weak Clean & Jerk,844,29
Steve Sellers,31.0,Senior,167.0,1.44,1.71,2.16,2.6,0.84,0.79,7.9,Elite,No Major Imbalance,845,29
Nick Neratka,28.0,Senior,193.0,1.25,1.6,2.59,2.46,0.79,0.62,7.9,Elite,Weak Clean & Jerk,846,29
John Musquez,25.0,Senior,212.0,1.2,1.58,2.36,2.76,0.76,0.67,7.9,Advanced,Weak Clean & Jerk,847,29
Colton Terry,26.0,Senior,200.0,1.3,1.63,2.25,2.73,0.8,0.72,7.9,Elite,No Major Imbalance,848,29
Lukasz Trzonkowski,31.0,Senior,208.0,1.27,1.64,2.33,2.65,0.77,0.71,7.9,Elite,No Major Imbalance,849,29
Se Won Kim,36.0,Masters I,188.0,1.33,1.6,2.58,2.39,0.83,0.62,7.9,Elite,Weak Clean & Jerk,850,29
Jordan Cook,23.0,Senior,195.0,1.38,1.69,2.26,2.56,0.82,0.75,7.9,Elite,No Major Imbalance,851,29
Michael Calhoun,27.0,Senior,195.0,1.36,1.72,2.44,2.38,0.79,0.71,7.9,Elite,No Major Imbalance,851,29
Dale Meitzler,26.0,Senior,195.0,1.33,1.64,2.36,2.56,0.81,0.7,7.9,Elite,Weak Clean & Jerk,851,29
Jonathan Caron,27.0,Senior,195.0,1.31,1.62,2.28,2.69,0.81,0.71,7.9,Elite,No Major Imbalance,851,29
julian alcaraz,25.0,Senior,195.0,1.28,1.72,2.41,2.49,0.75,0.71,7.9,Elite,No Major Imbalance,851,29
JP Tioseco,32.0,Senior,195.0,1.23,1.46,2.49,2.72,0.84,0.59,7.9,Advanced,Weak Clean & Jerk,851,29
Mateusz Wasilewski,24.0,Senior,183.0,1.33,1.63,2.17,2.77,0.82,0.75,7.9,Elite,No Major Imbalance,857,29
Josh Michaud,29.0,Senior,190.0,1.39,1.71,2.03,2.76,0.82,0.84,7.89,Elite,No Major Imbalance,858,29
cody ledford,24.0,Senior,190.0,1.34,1.63,2.29,2.63,0.82,0.71,7.89,Elite,No Major Imbalance,858,29
Josh Ledford,23.0,Senior,197.0,1.29,1.68,2.16,2.77,0.77,0.78,7.89,Elite,No Major Imbalance,860,29
Tyler Lloyd,23.0,Senior,185.0,1.51,1.78,2.3,2.3,0.85,0.78,7.89,Elite,No Major Imbalance,861,29
Jonathan Hawkins,24.0,Senior,185.0,1.49,1.76,2.35,2.3,0.85,0.75,7.89,Elite,No Major Imbalance,861,29
Marc saavedra,28.0,Senior,185.0,1.43,1.81,2.19,2.46,0.79,0.83,7.89,Elite,No Major Imbalance,861,29
Alex Madgar,29.0,Senior,185.0,1.43,1.7,2.16,2.59,0.84,0.79,7.89,Elite,No Major Imbalance,861,29
joel harding,29.0,Senior,185.0,1.35,1.73,2.11,2.7,0.78,0.82,7.89,Elite,No Major Imbalance,861,29
Mike Guenther,31.0,Senior,185.0,1.32,1.54,2.46,2.57,0.86,0.63,7.89,Elite,Weak Clean & Jerk,861,29
Eric Rutledge,24.0,Senior,185.0,1.3,1.62,2.35,2.62,0.8,0.69,7.89,Elite,Weak Clean & Jerk,861,29
Kyler Allison,30.0,Senior,199.0,1.21,1.63,2.51,2.54,0.74,0.65,7.89,Advanced,Weak Clean & Jerk,868,29
Seth Troutt,24.0,Senior,180.0,1.44,1.72,2.19,2.53,0.84,0.78,7.89,Elite,No Major Imbalance,869,29
Jordan Corso,24.0,Senior,180.0,1.39,1.69,2.31,2.5,0.82,0.73,7.89,Elite,No Major Imbalance,869,29
Dave Champagne,22.0,Senior,187.0,1.42,1.63,2.19,2.65,0.87,0.74,7.89,Elite,No Major Imbalance,871,30
Joe Hancuff,35.0,Masters I,213.0,1.24,1.48,2.46,2.7,0.84,0.6,7.89,Advanced,Weak Clean & Jerk,872,30
Greg Rollo,26.0,Senior,213.0,1.22,1.62,2.23,2.82,0.75,0.73,7.89,Advanced,No Major Imbalance,872,30
Michael Giardina,34.0,Senior,186.0,1.37,1.66,2.25,2.61,0.82,0.74,7.89,Elite,No Major Imbalance,874,30
Stas Darchinov,26.0,Senior,176.0,1.38,1.63,2.38,2.51,0.85,0.68,7.89,Elite,Weak Clean & Jerk,875,30
Kelvin DeLeon,24.0,Senior,182.0,1.4,1.65,2.34,2.5,0.85,0.71,7.88,Elite,No Major Imbalance,876,30
Brad Bouthot,25.0,Senior,215.0,1.42,1.77,2.3,2.4,0.8,0.77,7.88,Elite,No Major Imbalance,877,30
Jack Hile,23.0,Senior,170.0,1.41,1.71,2.21,2.56,0.83,0.77,7.88,Elite,No Major Imbalance,878,30
Will Malz,43.0,Masters I,235.0,1.21,1.65,2.36,2.66,0.74,0.7,7.88,Advanced,Weak Clean & Jerk,879,30
Matthew Coffelt,27.0,Senior,240.0,1.25,1.61,2.52,2.5,0.78,0.64,7.88,Advanced,Weak Clean & Jerk,880,30
Jake Humphrey,32.0,Senior,205.0,1.34,1.71,2.15,2.68,0.79,0.8,7.88,Elite,No Major Imbalance,881,30
Robert Forrest,26.0,Senior,205.0,1.24,1.59,2.41,2.63,0.78,0.66,7.88,Advanced,Weak Clean & Jerk,881,30
Ben Rogers,21.0,Senior,179.0,1.42,1.7,2.26,2.49,0.84,0.75,7.88,Elite,No Major Imbalance,883,30
Kosta Ilic,24.0,Senior,194.0,1.4,1.59,2.39,2.5,0.88,0.67,7.88,Elite,Weak Clean & Jerk,884,30
Hin Lai,27.0,Senior,167.0,1.47,1.8,2.19,2.43,0.82,0.82,7.87,Elite,No Major Imbalance,885,30
Jordan Larsen,31.0,Senior,198.0,1.3,1.62,2.34,2.62,0.81,0.69,7.87,Elite,Weak Clean & Jerk,886,30
Jake LaNasa,21.0,Senior,185.0,1.32,1.65,2.38,2.51,0.8,0.7,7.87,Elite,Weak Clean & Jerk,887,30
Joey Sandvig,28.0,Senior,237.0,1.33,1.54,2.53,2.47,0.86,0.61,7.87,Elite,Weak Clean & Jerk,888,30
Miguel Tapia,20.0,Senior,183.0,1.34,1.72,2.38,2.43,0.78,0.72,7.87,Elite,No Major Imbalance,889,30
Korey Bromery,28.0,Senior,190.0,1.32,1.66,2.24,2.66,0.79,0.74,7.87,Elite,No Major Imbalance,890,30
Daniel Skidmore,27.0,Senior,195.0,1.32,1.62,2.21,2.73,0.82,0.73,7.87,Elite,No Major Imbalance,891,30
Tyler Young,23.0,Senior,178.0,1.38,1.71,2.44,2.33,0.8,0.7,7.87,Elite,No Major Imbalance,892,30
Tom Ramsland,28.0,Senior,178.0,1.38,1.69,2.25,2.56,0.82,0.75,7.87,Elite,No Major Imbalance,892,30
Jim Denofa,34.0,Senior,200.0,1.26,1.6,2.35,2.65,0.79,0.68,7.87,Elite,Weak Clean & Jerk,894,30
Noah Ohlsen,23.0,Senior,185.0,1.41,1.76,2.19,2.51,0.8,0.8,7.86,Elite,No Major Imbalance,895,30
Matthew Michaud,30.0,Senior,185.0,1.41,1.62,2.14,2.7,0.87,0.76,7.86,Elite,No Major Imbalance,895,30
Brandon Hunkus,22.0,Senior,185.0,1.38,1.7,2.08,2.7,0.81,0.82,7.86,Elite,No Major Imbalance,895,30
John Coxhead,31.0,Senior,185.0,1.35,1.65,2.16,2.7,0.82,0.76,7.86,Elite,No Major Imbalance,895,30
Juan Lara,21.0,Senior,196.0,1.3,1.46,2.24,2.86,0.89,0.65,7.86,Elite,Weak Clean & Jerk,899,30
Alexander Holguin,25.0,Senior,188.0,1.38,1.65,2.4,2.42,0.84,0.69,7.86,Elite,Weak Clean & Jerk,900,30
David Miller,28.0,Senior,202.0,1.26,1.53,2.13,2.95,0.82,0.72,7.86,Elite,No Major Imbalance,901,31
Jay Malone,29.0,Senior,173.0,1.39,1.65,2.2,2.63,0.84,0.75,7.86,Elite,No Major Imbalance,902,31
Taylor Graham,24.0,Senior,180.0,1.36,1.61,2.42,2.47,0.84,0.67,7.86,Elite,Weak Clean & Jerk,903,31
cody limas,27.0,Senior,180.0,1.33,1.67,2.39,2.47,0.8,0.7,7.86,Elite,Weak Clean & Jerk,903,31
Jack Whitton,24.0,Senior,187.0,1.42,1.68,2.22,2.54,0.84,0.76,7.86,Elite,No Major Imbalance,905,31
Ken Crowder,25.0,Senior,205.0,1.2,1.51,2.44,2.71,0.79,0.62,7.86,Advanced,Weak Clean & Jerk,906,31
Brent Newell,28.0,Senior,175.0,1.46,1.69,2.23,2.49,0.86,0.76,7.86,Elite,No Major Imbalance,907,31
Jeff Bright,22.0,Senior,175.0,1.4,1.74,2.23,2.49,0.8,0.78,7.86,Elite,No Major Imbalance,907,31
Riley Phelps,27.0,Senior,175.0,1.37,1.63,2.14,2.71,0.84,0.76,7.86,Elite,No Major Imbalance,907,31
Rob Bolger,34.0,Senior,195.0,1.31,1.52,2.41,2.62,0.86,0.63,7.86,Elite,Weak Clean & Jerk,910,31
Alfredo Haas,28.0,Senior,198.0,1.39,1.62,2.28,2.56,0.86,0.71,7.85,Elite,No Major Imbalance,911,31
Tyler Krueger,28.0,Senior,198.0,1.36,1.64,2.2,2.65,0.83,0.75,7.85,Elite,No Major Imbalance,911,31
Cameron Currie,27.0,Senior,198.0,1.21,1.64,2.35,2.65,0.74,0.7,7.85,Advanced,Weak Clean & Jerk,911,31
Jesse Rhoades,33.0,Senior,184.0,1.36,1.63,2.15,2.72,0.83,0.76,7.85,Elite,No Major Imbalance,914,31
Josh Winks,26.0,Senior,170.0,1.44,1.56,2.09,2.76,0.92,0.75,7.85,Elite,No Major Imbalance,915,31
Blair Morrison,32.0,Senior,190.0,1.34,1.56,2.37,2.58,0.86,0.66,7.85,Elite,Weak Clean & Jerk,916,31
Joshua Arcona,25.0,Senior,214.0,1.43,1.61,2.22,2.59,0.88,0.73,7.85,Elite,No Major Imbalance,917,31
Jordan Clayton,25.0,Senior,200.0,1.38,1.7,2.27,2.5,0.81,0.75,7.85,Elite,No Major Imbalance,918,31
Tommy Caputo,23.0,Senior,193.0,1.32,1.74,2.18,2.62,0.76,0.8,7.85,Elite,No Major Imbalance,919,31
Chad Morales,27.0,Senior,193.0,1.27,1.66,2.41,2.51,0.77,0.69,7.85,Elite,Weak Clean & Jerk,919,31
Steven Ptak,32.0,Senior,195.0,1.33,1.69,2.38,2.44,0.79,0.71,7.85,Elite,No Major Imbalance,921,31
Paul Seger,28.0,Senior,195.0,1.33,1.56,2.21,2.74,0.85,0.71,7.85,Elite,No Major Imbalance,921,31
Graham Holmberg,30.0,Senior,195.0,1.33,1.64,2.13,2.74,0.81,0.77,7.85,Elite,No Major Imbalance,921,31
Matt Morris,39.0,Masters I,195.0,1.26,1.56,2.64,2.38,0.8,0.59,7.85,Elite,Weak Clean & Jerk,921,31
Kenny Kallen,27.0,Senior,200.0,1.21,1.43,2.38,2.83,0.85,0.6,7.84,Advanced,Weak Clean & Jerk,925,31
Sebastian Fallman,22.0,Senior,187.0,1.42,1.59,2.01,2.83,0.89,0.79,7.84,Elite,No Major Imbalance,926,31
Touatekina Teremu,22.0,Senior,180.0,1.41,1.59,2.21,2.63,0.89,0.72,7.84,Elite,No Major Imbalance,927,31
Chema Peña,32.0,Senior,199.0,1.25,1.5,2.44,2.66,0.84,0.61,7.84,Elite,Weak Clean & Jerk,928,31
Hayden LaVanda,21.0,Senior,192.0,1.32,1.67,2.21,2.64,0.79,0.75,7.84,Elite,No Major Imbalance,929,31
Brian Bender,29.0,Senior,185.0,1.36,1.7,2.22,2.57,0.8,0.77,7.84,Elite,No Major Imbalance,930,31
Nathan Goldhardt,28.0,Senior,190.0,1.34,1.61,2.18,2.71,0.84,0.73,7.84,Elite,No Major Imbalance,931,32
Todd Reeves,36.0,Masters I,190.0,1.34,1.66,2.24,2.61,0.81,0.74,7.84,Elite,No Major Imbalance,931,32
Grant Langston,31.0,Senior,190.0,1.32,1.63,2.24,2.66,0.81,0.73,7.84,Elite,No Major Imbalance,931,32
Joe Silvestri,27.0,Senior,190.0,1.29,1.63,2.29,2.63,0.79,0.71,7.84,Elite,No Major Imbalance,931,32
Jared Pintar,27.0,Senior,190.0,1.29,1.58,2.32,2.66,0.82,0.68,7.84,Elite,Weak Clean & Jerk,931,32
marshall cupples,23.0,Senior,183.0,1.34,1.56,2.21,2.73,0.86,0.7,7.84,Elite,No Major Imbalance,936,32
Sigurður Hafsteinn Jónsson,24.0,Senior,195.0,1.36,1.64,2.3,2.54,0.83,0.71,7.84,Elite,No Major Imbalance,937,32
Jodi Gardiner,25.0,Senior,191.0,1.29,1.64,2.08,2.83,0.79,0.79,7.84,Elite,No Major Imbalance,938,32
Zach Nichols,27.0,Senior,215.0,1.19,1.6,2.12,2.93,0.74,0.76,7.84,Advanced,No Major Imbalance,939,32
john bennett,29.0,Senior,178.0,1.4,1.71,2.16,2.56,0.82,0.79,7.84,Elite,No Major Imbalance,940,32
Sean McChesney,33.0,Senior,190.0,1.34,1.68,2.16,2.66,0.8,0.78,7.84,Elite,No Major Imbalance,941,32
